ImageId,group,split,n_ships
c156586cf.jpg,0,test,1
b34b03955.jpg,1,train,1
f09dc25a6.jpg,2,train,1
cc3c36fb1.jpg,3,train,1
f22917f42.jpg,4,train,0
52e8e3a98.jpg,5,train,1
eb7910d1e.jpg,6,train,1
43fd5b082.jpg,7,train,1
4ff91140e.jpg,8,train,0
1423d4803.jpg,9,train,1
57c23b407.jpg,10,train,0
cd366722a.jpg,11,train,1
8669bce14.jpg,12,train,3
dea233a5e.jpg,13,train,1
4a9e91e73.jpg,14,train,1
baf132370.jpg,15,train,1
c98d5be90.jpg,16,train,3
f7ee55707.jpg,17,train,2
38b4c72ed.jpg,18,train,3
61dc82daf.jpg,19,test,1
22b0f7c6e.jpg,20,train,1
c6105f8b3.jpg,21,test,2
e62ea8970.jpg,22,train,1
8b610b8b4.jpg,23,train,1
63a0b21da.jpg,24,train,1
51afe3ff6.jpg,25,train,1
ace1f39ae.jpg,26,train,0
2c55fe174.jpg,27,train,1
7d737e69e.jpg,28,train,0
0ded5032a.jpg,29,train,1
33b7f323f.jpg,30,train,1
a46563fb0.jpg,31,train,2
9ba89b71e.jpg,32,train,1
b55833806.jpg,33,train,1
be1720fc4.jpg,34,train,1
128457039.jpg,35,train,1
ff14d5e8c.jpg,36,val,2
50b6bd1e2.jpg,37,val,1
cf74faf24.jpg,38,train,0
d4f525b7c.jpg,39,train,8
04d046420.jpg,40,train,1
7b9a3d282.jpg,41,train,0
770626eca.jpg,42,train,1
fa0adedf4.jpg,43,test,3
690fc7729.jpg,44,train,2
bb72f8477.jpg,45,train,2
aa6bad34e.jpg,46,train,3
f915814d6.jpg,47,train,2
8da921f37.jpg,48,train,2
77fa931db.jpg,49,train,2
35bbc3d7b.jpg,50,test,1
ede6ec9f9.jpg,51,train,1
0f470e77d.jpg,52,train,1
05d523c71.jpg,53,test,6
236ff6f43.jpg,54,train,1
41cb9ef3f.jpg,55,train,1
829e2c345.jpg,56,train,1
5f1ca3fdc.jpg,57,train,3
66010e336.jpg,58,train,1
ce8d987bc.jpg,59,train,0
9189f7f5c.jpg,60,train,4
d60e8d692.jpg,61,train,1
51625a2d5.jpg,62,train,2
7be6276b6.jpg,63,val,1
a9eb53139.jpg,64,train,2
78812705c.jpg,65,train,1
f9805d413.jpg,66,test,0
01d8d0ef7.jpg,67,train,4
b4eefde59.jpg,68,train,0
3c7680fe3.jpg,69,train,1
fdf5c52a4.jpg,70,train,2
ddcd708f1.jpg,71,train,1
6d5ea107d.jpg,72,train,2
c06694dd0.jpg,73,train,1
b9c59848b.jpg,74,train,1
a4fc3a5ac.jpg,75,train,1
35945b8bb.jpg,76,train,0
dcc2b0486.jpg,77,train,1
5167ad71f.jpg,78,train,1
9e6c22935.jpg,79,train,5
2f829854f.jpg,80,train,7
ad751a23d.jpg,81,val,12
af33c1c2b.jpg,82,train,1
fa068302e.jpg,83,train,1
ddfe18f8b.jpg,84,train,1
bda083ef0.jpg,85,train,1
