image,size_px,found,conf,ctx3,cloud_frac
0002756f7.jpg,25.999872000000003,True,0.6205556988716125,ships,0.0
0002756f7.jpg,25.999872000000003,True,0.6330491900444031,ships,0.0
00113a75c.jpg,40.99968,True,0.8334069848060608,ships,0.0
00113a75c.jpg,36.999936,True,0.6212732791900635,ships,0.0
00113a75c.jpg,21.000192,True,0.3089329898357391,ships,0.0
00113a75c.jpg,32.000256,True,0.4799980521202087,ships,0.0
00113a75c.jpg,64.99968,True,0.8775528073310852,ships,0.0
00113a75c.jpg,38.999808,True,0.8413905501365662,ships,0.0
00113a75c.jpg,50.999808,True,0.5882920622825623,ships,0.0
001bcf222.jpg,22.000128,True,0.0776325389742851,coast,0.09331597222222222
0022f64e5.jpg,69.000192,True,0.7882170677185059,coast,0.0
0098456ff.jpg,155.000064,True,0.8524444103240967,ships,0.0
0098456ff.jpg,19.00032,True,0.3655527830123901,ships,0.0
0098456ff.jpg,73.999872,False,0.0,ships,0.0
0098456ff.jpg,225.000192,True,0.8908835649490356,ships,0.0
009c1116c.jpg,12.999936000000002,True,0.2716195583343506,coast,0.0
00a9adaa4.jpg,14.999808,True,0.053281083703041,ships,0.156982421875
00a9adaa4.jpg,16.999679999999998,True,0.4289209544658661,ships,0.156982421875
00a9adaa4.jpg,19.00032,True,0.7081369161605835,ships,0.156982421875
00a9adaa4.jpg,23.000064,True,0.767459511756897,ships,0.156982421875
00a9adaa4.jpg,24.999936,True,0.8142401576042175,ships,0.156982421875
00b101ed7.jpg,63.99974400000001,True,0.7875241041183472,ships,0.0
00b3e6991.jpg,31.00032,True,0.5418863892555237,coast,0.0
00c3aee3d.jpg,31.00032,True,0.4684102833271026,ships,0.0
00c3aee3d.jpg,24.999936,True,0.1627734452486038,ships,0.0
00c3aee3d.jpg,51.99974400000001,True,0.7410354614257812,ships,0.0
00c3aee3d.jpg,12.999936000000002,False,0.0,ships,0.0
00e603959.jpg,45.000192,True,0.6714776158332825,ships,0.0
00f34434e.jpg,60.0,True,0.9110007882118224,ships,0.0
00f34434e.jpg,170.999808,True,0.9034571051597596,ships,0.0
00f34434e.jpg,10.000128,False,0.0,ships,0.0
010cbbfa0.jpg,21.000192,True,0.0576580204069614,coast,0.0
010cbbfa0.jpg,20.000256,False,0.0,coast,0.0
010cbbfa0.jpg,9.000192,False,0.0,coast,0.0
010e15afe.jpg,34.000128,True,0.4327045679092407,coast,0.0
010e15afe.jpg,40.99968,True,0.5930428504943848,coast,0.0
010e15afe.jpg,62.999808,True,0.7411441206932068,coast,0.0
010e15afe.jpg,24.999936,True,0.7005243897438049,coast,0.0
010e15afe.jpg,24.999936,True,0.4229566752910614,coast,0.0
010e15afe.jpg,24.0,True,0.1349770426750183,coast,0.0
010e15afe.jpg,39.999744,True,0.7642685174942017,coast,0.0
010e15afe.jpg,33.000192,True,0.4154644310474396,coast,0.0
010e15afe.jpg,16.999679999999998,False,0.0,coast,0.0
0114cb925.jpg,11.000064,True,0.4208989441394806,ships,0.0
0114cb925.jpg,77.999616,True,0.8310228586196899,ships,0.0
01178499a.jpg,139.00032000000002,True,0.9442147612571716,ships,0.0
012635ffd.jpg,101.999616,True,0.7581741213798523,ships,0.0
014773cfa.jpg,15.999744,True,0.4128886759281158,ships,0.0
014c589c5.jpg,22.000128,True,0.3920015096664428,coast,0.0
014c589c5.jpg,12.0,True,0.2853074967861175,coast,0.0
014f2454d.jpg,8.000256,True,0.1812711507081985,ships,0.0
014f42813.jpg,84.99993599999999,True,0.8680340647697449,ships,0.0
015369fd9.jpg,74.999808,True,0.5277153849601746,ships,0.0
015369fd9.jpg,112.99967999999998,True,0.8470457196235657,ships,0.0
015369fd9.jpg,84.0,True,0.8722625970840454,ships,0.0
015369fd9.jpg,93.000192,True,0.3107722997665405,ships,0.0
015e56b00.jpg,74.999808,True,0.7769444584846497,ships,0.0
015e56b00.jpg,14.999808,False,0.0,ships,0.0
0171499be.jpg,47.000064,True,0.5879855155944824,ships,0.0
0171499be.jpg,125.999616,True,0.8244079351425171,ships,0.0
0171499be.jpg,42.000384,True,0.6929259300231934,ships,0.0
017b8be5a.jpg,25.999872000000003,True,0.4919075667858124,ships,0.0
01834cb80.jpg,139.00032000000002,True,0.8922327160835266,ships,0.0
01933be65.jpg,20.000256,True,0.4577310383319855,ships,0.0
019637cee.jpg,7.00032,False,0.0,ships,0.0
0198713b4.jpg,120.999936,True,0.8315502405166626,ships,0.0
01acf3a1a.jpg,31.00032,True,0.5839076638221741,ships,0.0
01c99b29b.jpg,32.000256,True,0.3013584017753601,ships,0.0
01cecb9b6.jpg,20.000256,True,0.173668622970581,ships,0.0
01ed38a14.jpg,4.99968,True,0.1815765500068664,ships,0.0
020aa1a39.jpg,262.000128,True,0.960831880569458,ships,0.0
020f1afe8.jpg,287.00006399999995,True,0.9690022468566896,ships,0.0
020f1afe8.jpg,60.999936,True,0.3484166860580444,ships,0.0
022ecd2ce.jpg,27.999744,True,0.2595403492450714,coast,0.0
023aec5ee.jpg,10.000128,True,0.4810691177845001,ships,0.0
02641ca93.jpg,27.999744,True,0.145148366689682,ships,0.0
02641ca93.jpg,68.000256,True,0.9018731713294984,ships,0.0
02641ca93.jpg,29.999616,True,0.5361236333847046,ships,0.0
02641ca93.jpg,20.000256,True,0.5057089328765869,ships,0.0
02641ca93.jpg,40.99968,True,0.873502254486084,ships,0.0
02641ca93.jpg,64.99968,True,0.8609248995780945,ships,0.0
02641ca93.jpg,25.999872000000003,True,0.6688038110733032,ships,0.0
02641ca93.jpg,16.999679999999998,False,0.0,ships,0.0
